CO0500012;2013;Comercial;CHEVROLET;COMBO;VAN 5P 1.4 PL AB;1.400;;Bencina;Mecánica;;;;2.982.254;32.333
CO0500013;2011;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;1.664.997;32.333
CO0500013;2012;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;1.815.602;32.333
CO0500013;2013;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;1.999.139;32.333
CO0500013;2014;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;2.215.606;32.333
CO0500013;2015;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;2.465.005;32.333
CO0500014;2012;Comercial;CHEVROLET;COMBO;VAN 5P 1.4  PL AC AB;1.400;;Bencina;Mecánica;;;;2.837.640;32.333
CO0500014;2013;Comercial;CHEVROLET;COMBO;VAN 5P 1.4  PL AC AB;1.400;;Bencina;Mecánica;;;;2.842.932;32.333
CO0500015;2015;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;1.755.179;32.333
CO0500015;2016;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;2.895.867;32.333
CO0500015;2017;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;3.105.587;32.333
CO0500015;2018;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;3.332.919;33.329
CO0500015;2019;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;3.577.864;35.779
CO0500015;2020;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;3.840.420;38.404
CO0500015;2021;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;4.120.589;43.612
CO0500015;2022;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;4.418.370;49.568
CO0500015;2023;Furgón;CHEVROLET;N300;MAX E5 VAN 1.2 MT;1.200;;Bencina;Mecánica;;;;4.733.763;55.876
CO0500016;2017;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT A/C DH;1.200;;Bencina;Mecánica;;;;3.305.852;33.059
CO0500016;2018;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT A/C DH;1.200;;Bencina;Mecánica;;;;3.547.844;35.478
CO0500016;2019;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT A/C DH;1.200;;Bencina;Mecánica;;;;3.808.584;38.086
CO0500016;2020;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT A/C DH;1.200;;Bencina;Mecánica;;;;4.088.072;42.962
CO0500016;2021;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT A/C DH;1.200;;Bencina;Mecánica;;;;4.386.308;48.927
CO0500016;2022;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT A/C DH;1.200;;Bencina;Mecánica;;;;4.703.291;55.266
CO0500016;2023;Furgón;CHEVROLET;N300;MAX VAN 1.2 MT A/C DH;1.200;;Bencina;Mecánica;;;;5.039.023;61.981
CO0500019;2020;Comercial;CHEVROLET;FTR;CHASSIS CABINA FTR 1524_ABS;7.700;240;Diésel;Automática;6;4x2 (2WD);JAPÓN;31.623.151;1.015.646
CO0500019;2021;Comercial;CHEVROLET;FTR;CHASSIS CABINA FTR 1524_ABS;7.700;240;Diésel;Automática;6;4x2 (2WD);JAPÓN;32.972.129;1.076.350
CO0500019;2022;Comercial;CHEVROLET;FTR;CHASSIS CABINA FTR 1524_ABS;7.700;240;Diésel;Automática;6;4x2 (2WD);JAPÓN;38.815.196;1.339.288
CO0500020;2020;Comercial;CHEVROLET;N400;1.5 MT;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;6.132.880;83.858
CO0500020;2021;Comercial;CHEVROLET;N400;1.5 MT;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;6.741.830;96.037
CO0500020;2022;Comercial;CHEVROLET;N400;1.5 MT;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;7.464.055;110.482
CO0500020;2023;Comercial;CHEVROLET;N400;1.5 MT;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;7.996.856;123.507
CO0500021;2020;Comercial;CHEVROLET;N400;1.5 MT AC;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;6.477.430;90.749
CO0500021;2021;Comercial;CHEVROLET;N400;1.5 MT AC;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;7.161.080;104.422
CO0500021;2022;Comercial;CHEVROLET;N400;1.5 MT AC;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;7.865.781;119.575
CO0500021;2023;Comercial;CHEVROLET;N400;1.5 MT AC;1.500;103;Bencina;Mecánica;5;4x2 (2WD);CHINA;8.427.258;136.419
CT0500001;1970;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;178.406;32.333
CT0500001;1971;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;178.406;32.333
CT0500001;1972;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;178.406;32.333
CT0500001;1973;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;178.406;32.333
CT0500001;1974;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;178.406;32.333
CT0500001;1975;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;178.406;32.333
CT0500001;1976;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;214.087;32.333
CT0500001;1977;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;231.927;32.333
CT0500001;1978;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;258.689;32.333
CT0500001;1979;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;294.370;32.333
CT0500001;1980;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;312.210;32.333
CT0500001;1981;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;338.971;32.333
CT0500001;1982;Camioneta;CHEVROLET;C10;CARRY-ALL;5.000;;Bencina;Mecánica;;;;374.652;32.333
CT0500002;1970;Camioneta;CHEVROLET;SCOTTDALE;2WD;4.100;;Bencina;Mecánica;;;;178.406;32.333
CT0500003;1971;Camioneta;CHEVROLET;APACHE-10;500 KG;4.100;;Bencina;Mecánica;;;;160.565;32.333
CT0500003;1972;Camioneta;CHEVROLET;APACHE-10;500 KG;4.100;;Bencina;Mecánica;;;;160.565;32.333
CT0500003;1973;Camioneta;CHEVROLET;APACHE-10;500 KG;4.100;;Bencina;Mecánica;;;;169.486;32.333
CT0500003;1974;Camioneta;CHEVROLET;APACHE-10;500 KG;4.100;;Bencina;Mecánica;;;;169.486;32.333
CT0500004;1971;Camioneta;CHEVROLET;APACHE-20;750 KG;4.100;;Bencina;Mecánica;;;;160.565;32.333
